classifier,generator,condition,mean,std,count,label
roberta,gpt-4o-mini,mixed,0.8109605131569242,0.0034278052984717815,3,roberta / gpt-4o-mini
roberta,gpt-4o-mini,real,0.8237953927022632,0.008793755781535913,3,roberta / gpt-4o-mini
roberta,gpt-4o-mini,synth,0.7048870503649649,0.00733046692097683,3,roberta / gpt-4o-mini
roberta,gpt-5.4-mini,mixed,0.8094383441966353,0.002148880469399402,3,roberta / gpt-5.4-mini
roberta,gpt-5.4-mini,real,0.8237953927022632,0.008793755781535913,3,roberta / gpt-5.4-mini
roberta,gpt-5.4-mini,synth,0.6965106308293709,0.02324764689329879,3,roberta / gpt-5.4-mini
roberta,mistral-7b,mixed,0.8178968159821496,0.0037847525762993227,3,roberta / mistral-7b
roberta,mistral-7b,real,0.8237953927022632,0.008793755781535913,3,roberta / mistral-7b
roberta,mistral-7b,synth,0.6780521548402735,0.019268289307378644,3,roberta / mistral-7b
roberta,qwen-2.5-7b,mixed,0.8054373430674896,0.00651835875967341,3,roberta / qwen-2.5-7b
roberta,qwen-2.5-7b,real,0.8237953927022632,0.008793755781535913,3,roberta / qwen-2.5-7b
roberta,qwen-2.5-7b,synth,0.704551258269256,0.009722140753292013,3,roberta / qwen-2.5-7b
roberta,gemma-2-9b,mixed,0.8082112123899159,0.007626819335084383,3,roberta / gemma-2-9b
roberta,gemma-2-9b,real,0.8237953927022632,0.008793755781535913,3,roberta / gemma-2-9b
roberta,gemma-2-9b,synth,0.7181455558412261,0.005301407879046695,3,roberta / gemma-2-9b
roberta,llama-3.1-8b,mixed,0.8154253238776584,0.006089657379998943,3,roberta / llama-3.1-8b
roberta,llama-3.1-8b,real,0.8237953927022632,0.008793755781535913,3,roberta / llama-3.1-8b
roberta,llama-3.1-8b,synth,0.71246418732028,0.0032450021180114408,3,roberta / llama-3.1-8b
roberta,llama-3.2-3b,mixed,0.813187187258996,0.0061066290208253325,3,roberta / llama-3.2-3b
roberta,llama-3.2-3b,real,0.8237953927022632,0.008793755781535913,3,roberta / llama-3.2-3b
roberta,llama-3.2-3b,synth,0.7174308881844524,0.01694944431418419,3,roberta / llama-3.2-3b
debertav3,gpt-4o-mini,mixed,0.8332189857792115,0.015254860279338424,3,debertav3 / gpt-4o-mini
debertav3,gpt-4o-mini,real,0.8485101338174554,0.007819062817696667,3,debertav3 / gpt-4o-mini
debertav3,gpt-4o-mini,synth,0.7138266054794405,0.019530964401149466,3,debertav3 / gpt-4o-mini
debertav3,gpt-5.4-mini,mixed,0.836737007420889,0.010949090389876886,3,debertav3 / gpt-5.4-mini
debertav3,gpt-5.4-mini,real,0.8485101338174554,0.007819062817696667,3,debertav3 / gpt-5.4-mini
debertav3,gpt-5.4-mini,synth,0.7510540247452299,0.014331008359392723,3,debertav3 / gpt-5.4-mini
